phase,at_utc,mint,status,interval_ms
life,2026-08-03T01:42:01.926Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:05.947Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:09.926Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:13.938Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:17.936Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:21.948Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:25.942Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:29.943Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:33.939Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:37.947Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:41.946Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:45.960Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:50.089Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:53.955Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:42:58.039Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:43:01.954Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:43:05.957Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:43:09.973Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:43:13.970Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:43:17.962Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:43:21.976Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:43:25.968Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:43:30.164Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:43:33.971Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:43:38.029Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:43:41.964Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:43:46.017Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:43:50.032Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:43:53.982Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:43:57.978Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:01.972Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:05.975Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:09.980Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:13.975Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:17.980Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:21.987Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:25.995Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:29.999Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:33.985Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:37.990Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:41.991Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:45.994Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:49.997Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:53.996Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:44:58.002Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:01.996Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:06.011Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:10.005Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:14.012Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:18.018Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:22.013Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:26.014Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:30.020Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:34.018Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:38.022Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:42.022Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:46.027Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:50.025Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:54.039Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:45:58.028Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:46:02.032Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:46:06.037Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:46:10.025Z,AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,200,4000
life,2026-08-03T01:46:14.055Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:46:18.051Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:46:22.090Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:46:26.057Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:46:30.041Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:46:34.043Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:46:38.041Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:46:42.227Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:46:46.048Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:46:50.055Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:46:54.173Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:46:58.049Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:02.059Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:06.056Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:10.082Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:14.087Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
