mint,symbol,grad_s_from_mint,grad_bracket_ms,grad_source,window_s,n_fills,n_amm_fills,pages,requests,reached_mint,truncated,create_slot_agrees,pairs_closed_60s,pairs_open_60s,pairs_closed_full,pairs_open_full,early_pairs,early_closed_60s,early_closed_full
CP1Y8TMA1FL4TWfFFuDsi3ncw1VkTYi2gGzuEXoCpump,Imagine,5958.0,92000,bisect,9558,9159,4536,92,92,1,0,1,57,118,1328,712,175,57,160
Cw8pzbFogvkryGDS8fZkjFrVueaur1taynqRu1rtpump,float,1.0,0,tape,3601,3843,3815,39,39,1,0,1,149,121,761,146,270,149,261
CympZjkuNLSzXmTd9P375dH5rVnnja4rACvgNCsEpump,Chungus,201.0,2000,page,3801,8984,7778,90,90,1,0,1,116,186,1384,315,302,116,292
Cz2M3oyo28kZiKn3MRq75hRmsygErdg6C5i9Hhwkpump,Uta,208.0,3000,page,3808,5776,4719,58,58,1,0,1,82,160,964,339,242,82,211
DZMYRLGqRUuX5hhXbyDY2MmZdb2w6N6XqyTs4XRJpump,3,1879.0,29000,bisect,5479,5325,2810,54,54,1,0,1,93,82,1032,293,175,93,166
DhKve396PYPUZTsLAuy8yKuupWRuh7aLpZ87CRypump,Trump,200.0,3000,page,3800,3366,1985,34,34,1,0,1,92,188,852,86,280,92,267
E1S2RV6aNSU4inxH7k1wVWFczegAZGj54nyFDhDnpump,Elonify,1785.0,26000,bisect,5385,5350,3850,54,54,1,0,1,78,106,1103,292,184,78,176
EDbFTcQsdezqk1HNxnciwbVYPFWovz6ibZgUVp59pump,Slap,121.0,1000,tape,3721,4534,3617,46,46,1,0,1,71,185,919,192,256,71,236
EL8SwnwpPf3BCBY9jZoHvdtYV7kLtWiTmm6rw3E9pump,Simulator,3912.0,0,page,7512,3281,701,33,33,1,0,1,59,97,649,159,156,59,152
EYCLUmraT2HU6h3YgEQins1CZ6BEQx4CyZA3v6azpump,Memestock,1546.0,4000,page,5146,4021,1355,41,41,1,0,1,83,138,809,194,221,83,212
EZum81Bs7pECU7cttRDiJMwSieJJ9mZBjbbCc7Prpump,wawa,13365.0,207000,bisect,16965,10825,6821,109,109,1,0,1,78,147,1752,509,225,78,216
EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,shrek,4419.0,3000,page,8019,3463,880,35,35,1,0,1,79,129,740,140,208,79,202
EzrXiBWKcr3WSGLdJWeXvfBSkWRHkaymU7gW5fXpump,Kittens,696.0,3000,page,4296,4995,3074,50,50,1,0,1,48,109,750,167,157,48,151
F64aoufmfWZBY3BoqR1kVoQj4DJv6gMSkgPdTrPupump,Ceasar,350.0,0,page,3950,5956,5092,60,60,1,0,1,33,33,1147,223,66,33,60
F9kE4sAvv2dx6faqb6qHoMYocPzWv9QRmuEASeHSpump,Beagles,53.0,1000,tape,3653,17897,16893,179,179,1,0,1,182,273,1913,813,455,182,414
FBKyGDGLg4WYVecXfSL8Ke2fNXe8Si72NeGbcRSXpump,Nuannuan,496.0,0,page,4096,2600,1387,26,26,1,0,1,87,107,679,86,194,87,189
FKeaJZ1nKME7uhkC1bUFGHUg33C52uLVH5bVMTetpump,Milly,2.0,1000,tape,3602,1611,1573,17,17,1,0,1,175,74,423,58,249,175,240
FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,Fushin,1510.0,1000,page,5110,5699,2506,57,57,1,0,1,115,161,1089,197,276,115,268
FcmXm8f5sk31fuLeRNjaSudFakvak4yNScnkosWgpump,Eşek,53645.0,783000,bisect,57245,3687,968,37,37,1,0,1,83,127,882,136,210,83,206
FgJtjhHGSzRecAEErPzwmbq7SxieqDRzwrziUrtzpump,Sdlaana,344.0,3000,page,3944,4297,2976,43,43,1,0,1,49,149,857,231,198,49,189
FjLbCT5pj246VsQmJ5fj4za7nULWQPv5cwipFKmJpump,大坏蛋,144.0,0,tape,3744,2864,1722,29,29,1,0,1,95,159,706,93,254,95,246
